CC1,-CC1,CC2,-CC2,M4G,-M4G,CCL,-CCL,CCX,-CCX,CC2 (Transfer),-CC2T,M4G (Transfer),-M4GT,CC1 & CC2 & M4G,-CC1CC2M4G
Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM
92,52,9,18,,,,,,,,,,,92,52
101,56,10,37,,,,,,,,,,,101,56
110,61,12,17,,,,,,,,,,,110,61
1,15,1,17,,,,,,,,,,,1,15
3,16,3,21,,,,,,,,,,,3,16
4,22,15,23,,,,,,,,,,,4,22
5,23,1,20,,,,,,,,,,,5,23
9,31,14,15,,,,,,,,,,,9,31
10,25,4,20,,,,,,,,,,,10,25
11,29,7,42,,,,,,,,,,,11,29
12,30,9,60,,,,,,,,,,,12,30
16,32,11,50,,,,,,,,,,,16,32
19,23,13,71,,,,,,,,,,,19,23
20,19,14,75,,,,,,,,,,,20,19
21,28,19,78,,,,,,,,,,,21,28
23,35,25,63,,,,,,,,,,,23,35
26,25,28,83,,,,,,,,,,,26,25
6,17,33,90,,,,,,,,,,,6,17
1,5,35,96,,,,,,,,,,,1,5
2,9,37,99,,,,,,,,,,,2,9
4,17,38,106,,,,,,,,,,,4,17
7,22,46,59,,,,,,,,,,,7,22
8,16,47,84,,,,,,,,,,,8,16
9,26,61,106,,,,,,,,,,,9,26
1,4,65,108,,,,,,,,,,,1,4
4,3,66,115,,,,,,,,,,,4,3
5,15,70,117,,,,,,,,,,,5,15
6,35,81,119,,,,,,,,,,,6,35
7,44,83,122,,,,,,,,,,,7,44
1,5,84,124,,,,,,,,,,,1,5
2,11,95,118,,,,,,,,,,,2,11
3,14,97,126,,,,,,,,,,,3,14
5,24,102,130,,,,,,,,,,,5,24
7,31,109,145,,,,,,,,,,,7,31
8,10,139,152,,,,,,,,,,,8,10
9,22,2,13,,,,,,,,,,,9,22
11,34,1,14,,,,,,,,,,,11,34
12,28,2,18,,,,,,,,,,,12,28
13,24,3,25,,,,,,,,,,,13,24
1,12,4,30,,,,,,,,,,,1,12
3,18,5,33,,,,,,,,,,,3,18
1,5,11,36,,,,,,,,,,,1,5
2,10,13,42,,,,,,,,,,,2,10
3,8,21,50,,,,,,,,,,,3,8
4,12,35,50,,,,,,,,,,,4,12
5,17,46,47,,,,,,,,,,,5,17
6,15,14,22,,,,,,,,,,,6,15
7,20,2,14,,,,,,,,,,,7,20
8,15,3,23,,,,,,,,,,,8,15
9,27,4,27,,,,,,,,,,,9,27
10,23,5,19,,,,,,,,,,,10,23
3,7,6,20,,,,,,,,,,,3,7
4,17,7,15,,,,,,,,,,,4,17
4,16,8,22,,,,,,,,,,,4,16
8,23,9,19,,,,,,,,,,,8,23
12,25,10,20,,,,,,,,,,,12,25
22,27,11,23,,,,,,,,,,,22,27
35,14,12,24,,,,,,,,,,,35,14
37,18,13,27,,,,,,,,,,,37,18
45,13,16,27,,,,,,,,,,,45,13
52,14,17,27,,,,,,,,,,,52,14
102,18,18,27,,,,,,,,,,,102,18
107,17,19,31,,,,,,,,,,,107,17
116,25,20,32,,,,,,,,,,,116,25
1,4,21,36,,,,,,,,,,,1,4
2,16,24,37,,,,,,,,,,,2,16
4,29,27,36,,,,,,,,,,,4,29
5,12,28,36,,,,,,,,,,,5,12
6,21,31,37,,,,,,,,,,,6,21
7,22,32,38,,,,,,,,,,,7,22
8,17,33,37,,,,,,,,,,,8,17
9,17,34,38,,,,,,,,,,,9,17
11,20,42,41,,,,,,,,,,,11,20
1,14,43,42,,,,,,,,,,,1,14
2,16,44,43,,,,,,,,,,,2,16
3,16,45,42,,,,,,,,,,,3,16
4,18,47,43,,,,,,,,,,,4,18
5,26,48,41,,,,,,,,,,,5,26
6,19,54,47,,,,,,,,,,,6,19
7,15,55,44,,,,,,,,,,,7,15
8,22,56,47,,,,,,,,,,,8,22
10,21,57,46,,,,,,,,,,,10,21
12,27,58,49,,,,,,,,,,,12,27
13,25,59,49,,,,,,,,,,,13,25
14,26,61,50,,,,,,,,,,,14,26
15,22,62,51,,,,,,,,,,,15,22
16,23,65,52,,,,,,,,,,,16,23
17,28,66,53,,,,,,,,,,,17,28
21,32,67,53,,,,,,,,,,,21,32
22,32,72,51,,,,,,,,,,,22,32
23,36,74,54,,,,,,,,,,,23,36
24,36,75,55,,,,,,,,,,,24,36
25,33,76,54,,,,,,,,,,,25,33
26,36,77,55,,,,,,,,,,,26,36
27,38,79,58,,,,,,,,,,,27,38
28,35,80,57,,,,,,,,,,,28,35
30,31,83,58,,,,,,,,,,,30,31
31,36,85,51,,,,,,,,,,,31,36
32,35,87,57,,,,,,,,,,,32,35
33,36,89,52,,,,,,,,,,,33,36
35,31,91,57,,,,,,,,,,,35,31
37,40,93,60,,,,,,,,,,,37,40
38,36,95,58,,,,,,,,,,,38,36
39,38,96,60,,,,,,,,,,,39,38
40,39,98,60,,,,,,,,,,,40,39
41,40,99,61,,,,,,,,,,,41,40
43,34,102,57,,,,,,,,,,,43,34
45,34,104,57,,,,,,,,,,,45,34
49,37,105,59,,,,,,,,,,,49,37
52,38,108,63,,,,,,,,,,,52,38
53,43,110,63,,,,,,,,,,,53,43
55,32,111,63,,,,,,,,,,,55,32
57,34,113,64,,,,,,,,,,,57,34
60,35,114,62,,,,,,,,,,,60,35
62,42,115,64,,,,,,,,,,,62,42
63,38,117,61,,,,,,,,,,,63,38
65,42,118,62,,,,,,,,,,,65,42
66,46,120,64,,,,,,,,,,,66,46
67,43,122,64,,,,,,,,,,,67,43
68,45,128,63,,,,,,,,,,,68,45
69,39,129,67,,,,,,,,,,,69,39
72,40,130,67,,,,,,,,,,,72,40
73,45,133,67,,,,,,,,,,,73,45
77,38,135,67,,,,,,,,,,,77,38
79,38,138,64,,,,,,,,,,,79,38
81,50,141,63,,,,,,,,,,,81,50
84,44,146,65,,,,,,,,,,,84,44
87,49,147,66,,,,,,,,,,,87,49
88,39,150,63,,,,,,,,,,,88,39
91,53,151,66,,,,,,,,,,,91,53
97,43,152,69,,,,,,,,,,,97,43
99,52,157,68,,,,,,,,,,,99,52
101,56,158,69,,,,,,,,,,,101,56
103,45,167,66,,,,,,,,,,,103,45
104,50,168,66,,,,,,,,,,,104,50
105,58,174,69,,,,,,,,,,,105,58
106,50,175,71,,,,,,,,,,,106,50
108,55,177,69,,,,,,,,,,,108,55
111,46,178,69,,,,,,,,,,,111,46
114,51,183,71,,,,,,,,,,,114,51
116,52,185,72,,,,,,,,,,,116,52
117,51,189,75,,,,,,,,,,,117,51
118,50,192,73,,,,,,,,,,,118,50
119,50,193,70,,,,,,,,,,,119,50
126,57,195,72,,,,,,,,,,,126,57
129,52,196,71,,,,,,,,,,,129,52
130,38,200,74,,,,,,,,,,,130,38
131,43,201,73,,,,,,,,,,,131,43
134,55,202,72,,,,,,,,,,,134,55
135,53,205,73,,,,,,,,,,,135,53
142,63,206,69,,,,,,,,,,,142,63
144,60,207,75,,,,,,,,,,,144,60
146,48,208,72,,,,,,,,,,,146,48
152,55,209,75,,,,,,,,,,,152,55
156,63,213,75,,,,,,,,,,,156,63
161,55,216,76,,,,,,,,,,,161,55
194,55,220,78,,,,,,,,,,,194,55
195,64,222,78,,,,,,,,,,,195,64
196,54,223,75,,,,,,,,,,,196,54
198,55,226,78,,,,,,,,,,,198,55
203,57,268,71,,,,,,,,,,,203,57
1061,53,269,75,,,,,,,,,,,1061,53
1,5,271,76,,,,,,,,,,,1,5
2,11,275,73,,,,,,,,,,,2,11
4,11,285,77,,,,,,,,,,,4,11
5,16,300,78,,,,,,,,,,,5,16
6,21,303,77,,,,,,,,,,,6,21
14,27,305,75,,,,,,,,,,,14,27
1,3,306,74,,,,,,,,,,,1,3
2,5,309,74,,,,,,,,,,,2,5
3,8,311,73,,,,,,,,,,,3,8
4,7,313,77,,,,,,,,,,,4,7
5,7,341,75,,,,,,,,,,,5,7
8,11,388,73,,,,,,,,,,,8,11
10,11,391,80,,,,,,,,,,,10,11
11,10,397,80,,,,,,,,,,,11,10
12,20,1,16,,,,,,,,,,,12,20
13,15,1,17,,,,,,,,,,,13,15
15,22,2,26,,,,,,,,,,,15,22
20,27,3,30,,,,,,,,,,,20,27
22,34,4,35,,,,,,,,,,,22,34
23,21,5,26,,,,,,,,,,,23,21
7,32,6,31,,,,,,,,,,,7,32
8,34,7,32,,,,,,,,,,,8,34
12,40,8,26,,,,,,,,,,,12,40
13,43,9,29,,,,,,,,,,,13,43
14,45,10,29,,,,,,,,,,,14,45
20,49,12,32,,,,,,,,,,,20,49
29,57,14,26,,,,,,,,,,,29,57
